Package,LibPath,Version,Priority,Built
miniUI,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.1.1,NA,3.5.0
minqa,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.4,NA,3.5.0
missForest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4,NA,3.5.0
mlbench,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1-1,NA,3.5.0
MLmetrics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.1,NA,3.5.0
ModelMetrics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.2,NA,3.5.0
modelr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.2,NA,3.5.0
modeltools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-22,NA,3.5.0
multcomp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-8,NA,3.5.0
munsell,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.0,NA,3.5.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-8,NA,3.5.0
networkD3,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4,NA,3.5.0
nlme,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1-137,recommended,3.5.2
nloptr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1,NA,3.5.0
NLP,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-0,NA,3.5.0
nnet,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-12,recommended,3.5.2
nnls,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4,NA,3.5.0
numDeriv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2016.8-1,NA,3.5.0
openssl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1,NA,3.5.0
openxlsx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1.0,NA,3.5.0
pamr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.55,NA,3.5.0
parallel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
party,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-1,NA,3.5.0
pbkrtest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-7,NA,3.5.0
pbmcapply,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0,NA,3.5.0
pillar,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
pkgbuild,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
pkgconfig,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.2,NA,3.5.0
pkgload,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
pkgmaker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.27,NA,3.5.0
plogr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
plotly,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.8.0,NA,3.5.1
plotmo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,NA,3.5.2
plotrix,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.7-4,NA,3.5.0
pls,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.7-0,NA,3.5.0
plyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8.4,NA,3.5.0
polspline,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.13,NA,3.5.0
polynom,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-9,NA,3.5.0
praise,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
pROC,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.13.0,NA,3.5.0
processx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.2.1,NA,3.5.0
prodlim,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2018.04.18,NA,3.5.0
profileModel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5-9,NA,3.5.0
profvis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.5,NA,3.5.0
progress,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
promises,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
proxy,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-22,NA,3.5.0
ps,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0,NA,3.5.0
PSW,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-3,NA,3.5.0
Publish,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2018.04.17,NA,3.5.0
purrr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.5,NA,3.5.0
quadprog,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5-5,NA,3.5.0
quantmod,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-13,NA,3.5.0
quantreg,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,5.38,NA,3.5.0
questionr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7.0,NA,3.5.0
qvcalc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-1,NA,3.5.0
R6,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.3.0,NA,3.5.0
randomForest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.6-14,NA,3.5.0
ranger,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.10.1,NA,3.5.0
RANN,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.6.1,NA,3.5.2
rbenchmark,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
rcmdcheck,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.2,NA,3.5.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-2,NA,3.5.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
RcppArmadillo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9.200.5.0,NA,3.5.0
RcppEigen,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.3.5.0,NA,3.5.0
RcppRoll,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
readr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
readxl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
recipes,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.4,NA,3.5.0
registry,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5,NA,3.5.0
rematch,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
remotes,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.2,NA,3.5.0
reportROC,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.2,NA,3.5.0
reprex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.0
reshape,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.8,NA,3.5.0
reshape2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.3,NA,3.5.0
rgl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.99.16,NA,3.5.0
RhpcBLASctl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.18-205,NA,3.5.0
rio,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.16,NA,3.5.0
rJava,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-10,NA,3.5.0
rlang,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.1,NA,3.5.2
rmarkdown,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.11,NA,3.5.0
rmutil,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.1,NA,3.5.0
rngtools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
robustbase,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.93-3,NA,3.5.0
ROCR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-7,NA,3.5.0
rpart,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1-13,recommended,3.5.2
rpart.plot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0.6,NA,3.5.0
rprojroot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-2,NA,3.5.0
rredis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.0,NA,3.5.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8,NA,3.5.0
rvest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.2,NA,3.5.0
sandwich,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.5-0,NA,3.5.0
scales,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
selectr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-1,NA,3.5.0
sessioninfo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.1,NA,3.5.0
shiny,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
shinyjs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0,NA,3.5.0
slam,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-44,NA,3.5.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.7,NA,3.5.0
sp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-1,NA,3.5.0
SparseM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.77,NA,3.5.0
spatial,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-11,recommended,3.5.2
splines,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
splines2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.8,NA,3.5.0
spls,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2-2,NA,3.5.0
SQUAREM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2017.10-1,NA,3.5.0
stats,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
stats4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
stR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4,NA,3.5.0
stringi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.4,NA,3.5.0
stringr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
strucchange,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5-1,NA,3.5.0
subselect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.14,NA,3.5.0
SuperLearner,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0-25-9000,NA,3.5.1
superpc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.09,NA,3.5.0
survey,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.35,NA,3.5.0
survival,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.43-3,recommended,3.5.2
survminer,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.3,NA,3.5.0
survMisc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.5,NA,3.5.0
tableone,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9.3,NA,3.5.0
tabplot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-1,NA,3.5.0
tcltk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
TeachingDemos,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.10,NA,3.5.0
testthat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.1,NA,3.5.0
TH.data,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-9,NA,3.5.0
tibble,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.0,NA,3.5.2
tidyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.2,NA,3.5.0
tidyselect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.5,NA,3.5.0
tidyverse,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1.9000,NA,3.5.2
timeDate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3043.102,NA,3.5.0
tinytex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9,NA,3.5.0
tm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7-6,NA,3.5.0
tmle,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0-1,NA,3.5.0
tools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
tseries,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.10-46,NA,3.5.0
TTR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.23-4,NA,3.5.0
tufte,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4,NA,3.5.0
twang,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.0
urca,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-0,NA,3.5.0
uroot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0-9,NA,3.5.0
usethis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.0,NA,3.5.0
utf8,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.4,NA,3.5.0
utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
vcd,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-4,NA,3.5.0
VGAM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-6,NA,3.5.0
VGAMdata,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-3,NA,3.5.0
VIM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.7.0,NA,3.5.0
viridis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
webshot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
whisker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-2,NA,3.5.0
withr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.2,NA,3.5.0
xfun,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4,NA,3.5.0
xgboost,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.71.2,NA,3.5.0
xlsx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.1,NA,3.5.0
xlsxjars,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.1,NA,3.5.0
xml2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
xopen,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
xtable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-3,NA,3.5.0
xts,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.11-2,NA,3.5.0
yaml,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2.0,NA,3.5.0
zip,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
zoo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-4,NA,3.5.0
